,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
149,1611,中電,"500,409",644,"6,287,356",12.75,12.75,12.50,12.50,+,0.05,12.50,69,12.55,10,5.00
150,1612,宏泰,"3,236,136","1,631","69,821,380",21.80,21.90,21.30,21.55, ,0.0,21.50,1,21.55,16,17.24
151,1614,三洋電,"24,060",15,"845,906",35.40,35.40,35.10,35.20,-,0.1,35.15,14,35.20,1,24.11
152,1615,大山,"348,338",225,"9,156,183",25.75,26.90,25.75,26.45,+,0.8,26.40,2,26.45,8,10.50
153,1616,億泰,"379,153",171,"2,319,152",6.12,6.16,6.07,6.07,-,0.08,6.07,1,6.08,35,0.00
154,1617,榮星,"55,466",50,"851,136",15.55,15.55,15.25,15.45,+,0.1,15.45,11,15.50,15,15.93
155,1618,合機,"6,959,661","2,710","101,006,569",14.35,14.90,14.15,14.20,+,0.3,14.20,74,14.30,22,14.20
156,1626,艾美特-KY,"149,040",66,"3,905,399",26.00,26.40,26.00,26.40,+,0.15,26.25,1,26.40,7,35.20
157,1701,中化,"386,302",267,"8,824,382",22.90,22.90,22.80,22.85,-,0.05,22.85,21,22.90,79,12.77
158,1702,南僑,"1,948,572","1,351","93,414,553",47.70,48.40,47.40,48.10,+,1.05,48.05,4,48.10,83,12.12
159,1707,葡萄王,"124,765",354,"22,237,110",178.00,178.50,177.50,178.00,-,0.5,178.00,3,178.50,2,19.08
160,1708,東鹼,"265,416",259,"6,033,222",22.85,22.85,22.70,22.80,+,0.05,22.75,13,22.80,25,30.00
161,1709,和益,"711,984",297,"10,469,300",14.75,14.80,14.65,14.65,-,0.15,14.65,8,14.70,34,15.75
162,1710,東聯,"5,386,071","1,789","113,661,314",21.25,21.30,20.80,21.20,-,0.15,21.15,60,21.20,47,0.00
163,1711,永光,"653,238",382,"10,718,976",16.35,16.50,16.35,16.40,+,0.1,16.40,17,16.45,113,51.25
164,1712,興農,"1,229,189",612,"26,873,979",21.75,21.95,21.75,21.95,+,0.2,21.90,20,21.95,79,12.06
165,1713,國化,"114,719",64,"2,254,997",19.75,19.80,19.60,19.80,+,0.15,19.65,8,19.75,5,32.46
166,1714,和桐,"2,716,617",841,"25,887,814",9.53,9.58,9.50,9.51,-,0.01,9.51,38,9.52,8,5.34
167,1717,長興,"1,717,791",968,"60,198,712",35.20,35.25,34.95,35.00,-,0.1,34.95,59,35.00,11,18.82
168,1718,中纖,"11,735,339","2,750","116,526,618",10.10,10.10,9.87,9.89,-,0.11,9.89,91,9.90,1,7.73
169,1720,生達,"258,798",188,"9,643,168",37.15,37.35,37.10,37.30,+,0.3,37.25,1,37.30,10,14.46
170,1721,三晃,"196,998",238,"2,045,799",10.40,10.45,10.35,10.35,-,0.1,10.35,24,10.40,27,3.95
171,1722,台肥,"1,298,633",709,"69,205,252",53.40,53.60,53.10,53.40,+,0.1,53.30,3,53.40,113,20.08
172,1723,中碳,"426,687",355,"46,135,944",109.00,109.00,107.50,108.50, ,0.0,108.00,5,108.50,63,35.11
173,1724,台硝,"28,137",50,"359,171",12.80,12.80,12.70,12.70,+,0.1,12.70,8,12.80,30,48.85
174,1725,元禎,"31,262",24,"514,022",16.50,16.50,16.35,16.40,-,0.05,16.35,3,16.40,1,18.02
175,1726,永記,"15,154",16,"1,091,332",72.30,72.30,71.80,72.00,-,0.4,72.00,3,72.20,1,14.15
176,1727,中華化,"52,532",53,"575,124",10.90,11.00,10.90,10.95,+,0.05,10.95,3,11.00,13,0.00
177,1730,花仙子,"191,520",181,"13,780,108",71.80,72.10,71.70,72.00,+,0.4,71.90,10,72.00,14,13.09
178,1731,美吾華,"853,952",475,"16,192,508",19.10,19.20,18.80,18.90,-,0.2,18.90,17,18.95,6,14.65
179,1732,毛寶,"631,511",407,"15,828,294",24.95,25.50,24.65,25.10,+,0.1,25.05,1,25.10,4,30.61
180,1733,五鼎,"263,278",176,"6,085,472",23.25,23.25,22.95,22.95,-,0.25,22.95,15,23.00,4,15.94
181,1734,杏輝,"1,024,951",636,"31,773,012",30.95,31.45,30.70,30.70,-,0.05,30.70,37,30.80,8,85.28
182,1735,日勝化,"11,018",10,"181,096",16.60,16.60,16.40,16.50, ,0.0,16.40,1,16.60,6,35.87
183,1736,喬山,"1,431,270","1,133","125,529,733",86.50,89.80,85.30,87.10,+,0.6,87.00,10,87.10,14,29.43
184,1737,臺鹽,"212,008",214,"6,949,955",32.65,32.90,32.65,32.80,+,0.15,32.75,47,32.80,21,20.63
185,1760,寶齡富錦,"847,072",739,"69,215,536",81.90,83.50,80.40,80.50,+,0.2,80.40,11,80.50,55,129.84
186,1762,中化生,"456,097",359,"26,187,137",58.00,58.40,56.70,57.40,-,0.1,57.30,18,57.40,31,9.47
187,1773,勝一,"225,500",205,"24,277,368",108.50,108.50,107.00,107.50, ,0.0,107.50,8,108.00,22,16.49
188,1776,展宇,"25,001",17,"409,066",16.35,16.55,16.30,16.45,+,0.05,16.35,2,16.40,2,29.91
189,1783,和康生,"3,672,183","2,212","104,316,898",28.40,28.65,28.30,28.40,+,0.9,28.40,4,28.45,53,38.90
190,1786,科妍,"27,335",61,"1,538,814",56.60,56.70,56.00,56.40,-,0.2,56.10,11,56.40,5,25.99
191,1789,神隆,"717,946",417,"18,285,164",25.35,25.65,25.25,25.40,+,0.05,25.40,17,25.45,14,61.95
192,1795,美時,"412,883",322,"30,158,121",73.60,73.70,72.80,72.80, ,0.0,72.80,32,73.20,1,21.04
193,1802,台玻,"12,807,981","4,881","254,907,135",20.05,20.30,19.60,19.80,-,0.4,19.80,39,19.85,73,220.00
194,1805,寶徠,"897,604",325,"14,560,537",16.40,16.50,16.10,16.10,-,0.25,16.10,58,16.15,1,0.00
195,1806,冠軍,"1,788,700",575,"14,674,817",8.07,8.37,8.06,8.26,+,0.2,8.26,12,8.27,42,0.00
196,1808,潤隆,"124,394",119,"7,653,476",61.20,61.70,61.20,61.60,+,0.4,61.60,6,61.70,14,22.56
197,1809,中釉,"1,519,997",548,"19,003,524",12.50,12.65,12.30,12.55,+,0.05,12.50,17,12.55,16,0.00
198,1810,和成,"862,170",199,"8,489,299",9.86,9.92,9.82,9.84,+,0.01,9.84,8,9.85,1,57.88
199,1817,凱撒衛,"131,351",100,"4,578,622",35.00,35.05,34.70,35.00,+,0.1,34.75,18,35.00,15,11.48
200,1903,士紙,"156,453",113,"8,213,552",53.00,53.00,52.10,52.30,-,0.9,52.30,1,52.70,17,0.00
201,1904,正隆,"2,520,146","1,281","81,196,505",32.40,32.60,31.95,32.30,-,0.1,32.20,2,32.30,13,10.56
202,1905,華紙,"8,351,615","2,661","102,224,224",12.50,12.55,12.05,12.20,-,0.25,12.20,523,12.25,125,0.00
203,1906,寶隆,"218,823",128,"3,834,402",17.70,17.75,17.35,17.35,-,0.25,17.35,18,17.40,44,27.98
204,1907,永豐餘,"10,741,465","4,148","314,982,651",29.75,29.75,28.90,29.65,-,0.05,29.60,15,29.65,197,10.78
205,1909,榮成,"44,475,237","17,069","1,168,803,157",26.65,26.95,25.70,26.60, ,0.0,26.55,9,26.60,355,33.67
206,2002,中鋼,"48,934,014","16,351","1,259,435,173",25.90,25.95,25.55,25.75,+,0.05,25.70,239,25.75,415,429.17
207,2002A,中鋼特,"33,019",7,"1,684,170",51.00,51.10,51.00,51.10, ,0.0,51.00,2,51.10,17,0.00
208,2006,東和鋼鐵,"10,701,802","5,067","417,554,853",39.15,39.50,38.55,39.50,+,0.05,39.45,9,39.50,24,16.39
209,2007,燁興,"1,714,957",652,"15,789,435",9.30,9.34,9.08,9.18,-,0.32,9.18,16,9.20,2,0.00
210,2008,高興昌,"375,129",234,"6,333,514",16.80,17.25,16.75,16.95,-,0.35,16.85,6,16.95,17,0.00
211,2009,第一銅,"13,296,946","6,761","393,764,329",29.50,30.45,29.00,29.40,-,1.6,29.40,127,29.45,8,980.00
212,2010,春源,"2,328,897",767,"32,442,998",13.95,14.10,13.85,13.95, ,0.0,13.90,10,13.95,104,25.36
213,2012,春雨,"159,244",123,"3,077,265",19.20,19.50,19.20,19.35,+,0.15,19.35,2,19.40,1,26.88
214,2013,中鋼構,"5,639,194","3,016","237,439,032",42.40,43.00,41.60,43.00,+,0.5,42.95,3,43.00,179,13.19
215,2014,中鴻,"31,138,559","9,170","565,992,654",18.40,18.45,18.00,18.20,-,0.2,18.20,10,18.25,112,49.19
216,2015,豐興,"740,501",515,"52,908,698",72.40,72.50,71.10,71.60,-,0.4,71.30,5,71.60,5,15.91
217,2017,官田鋼,"1,611,166",595,"19,453,318",12.20,12.30,11.95,12.05,-,0.1,12.05,161,12.10,76,0.00
218,2020,美亞,"1,624,435",784,"35,175,125",21.85,21.85,21.45,21.85,-,0.3,21.80,9,21.85,47,13.16
219,2022,聚亨,"1,936,602",735,"13,807,677",7.10,7.16,7.09,7.12,+,0.06,7.12,48,7.13,6,0.00
220,2023,燁輝,"4,073,457","1,245","54,296,949",13.40,13.45,13.25,13.40, ,0.0,13.35,59,13.40,260,0.00
221,2024,志聯,"98,208",163,"1,657,937",17.20,17.30,16.50,17.10, ,0.0,16.95,5,17.10,6,61.07
222,2025,千興,"433,042",116,"1,209,006",2.85,2.87,2.73,2.74,-,0.07,2.74,17,2.79,15,0.00
223,2027,大成鋼,"9,504,634","4,270","288,121,108",30.50,30.60,30.00,30.40,+,0.05,30.35,23,30.40,19,0.00
224,2028,威致,"2,265,064","1,081","54,894,286",24.65,24.65,23.90,24.25,-,0.35,24.25,8,24.30,9,22.88
225,2029,盛餘,"148,904",78,"3,354,877",22.60,22.65,22.40,22.50,-,0.1,22.50,36,22.55,14,225.00
226,2030,彰源,"1,190,822",500,"16,287,504",13.80,13.80,13.60,13.60,-,0.35,13.60,182,13.65,19,56.67
227,2031,新光鋼,"11,973,826","5,446","486,795,915",39.60,41.35,39.25,41.15,+,1.75,41.15,5,41.20,5,20.17
228,2032,新鋼,"711,124",302,"10,103,828",14.45,14.45,14.10,14.20,-,0.3,14.20,10,14.25,7,28.98
229,2033,佳大,"186,010",118,"2,352,075",12.75,12.75,12.55,12.75, ,0.0,12.70,1,12.75,12,22.37
230,2034,允強,"1,659,144",973,"44,497,733",27.00,27.05,26.70,26.80,-,0.3,26.80,6,26.85,31,24.81
231,2038,海光,"4,668,510","1,802","86,205,850",18.55,18.75,18.20,18.50,-,0.1,18.45,27,18.50,19,0.00
232,2049,上銀,"2,251,117","2,154","947,037,322",418.50,424.50,413.50,420.50,+,10.5,420.00,426,420.50,29,95.79
233,2059,川湖,"123,785",141,"39,996,812",323.00,327.00,320.00,320.00,-,2.0,320.00,4,321.00,2,26.19
234,2062,橋椿,"1,753,577",903,"55,139,464",30.55,31.75,30.55,31.65,+,1.25,31.60,3,31.65,13,0.00
235,2069,運錩,"128,100",69,"2,192,050",17.15,17.20,17.00,17.10,+,0.2,17.05,1,17.10,11,0.00
236,2101,南港,"715,784",409,"30,723,292",43.40,43.40,42.70,42.80,-,0.4,42.80,17,42.95,31,43.23
237,2102,泰豐,"947,543",420,"16,793,775",17.80,17.85,17.55,17.85,-,0.1,17.80,2,17.85,10,0.00
238,2103,台橡,"7,903,689","3,565","226,967,617",29.25,29.25,28.30,28.80,-,0.45,28.75,40,28.80,28,0.00
239,2104,國際中橡,"2,361,122","1,328","63,223,886",27.00,27.05,26.65,26.85, ,0.0,26.85,17,26.90,85,0.00
240,2105,正新,"3,466,109","1,706","151,203,573",43.60,43.95,43.40,43.65,+,0.05,43.65,30,43.70,125,43.65
241,2106,建大,"1,966,506","1,160","72,962,858",37.00,37.65,36.70,36.95, ,0.0,36.90,10,36.95,232,49.93
242,2107,厚生,"2,275,966","1,113","55,909,750",24.90,24.90,24.40,24.45,-,0.45,24.45,22,24.50,25,9.40
243,2108,南帝,"19,776,764","11,949","1,452,532,190",72.80,75.50,71.60,72.50,-,0.8,72.40,8,72.50,16,18.78
244,2109,華豐,"249,909",190,"3,098,796",12.40,12.45,12.35,12.40, ,0.0,12.40,16,12.45,63,15.70
245,2114,鑫永銓,"582,083",436,"69,714,385",121.00,121.50,118.00,120.00,-,1.0,119.50,2,120.00,9,22.39
246,2115,六暉-KY,"106,959",97,"5,348,387",50.50,50.50,49.70,49.80,-,0.4,49.80,1,49.95,2,8.15
247,2201,裕隆,"5,389,192","2,904","229,454,652",42.85,43.30,42.25,42.35,-,0.5,42.35,10,42.40,10,0.00
248,2204,中華,"585,551",352,"29,049,513",49.45,49.80,49.35,49.70,+,0.2,49.70,10,49.75,2,0.00
249,2206,三陽工業,"4,877,583","2,372","155,457,039",31.20,32.30,31.15,31.90,+,1.1,31.85,106,31.90,31,15.41
250,2207,和泰車,"188,767",269,"112,528,838",600.00,600.00,591.00,599.00,+,4.0,595.00,11,599.00,8,24.70
251,2208,台船,"5,581,727","2,817","126,482,008",23.05,23.20,22.30,22.45,-,0.55,22.45,1,22.50,108,0.00
252,2227,裕日車,"65,375",104,"16,912,892",259.50,259.50,258.00,258.50,-,1.0,258.50,1,259.50,6,12.84
253,2228,劍麟,"176,152",135,"13,525,267",76.50,77.50,76.40,77.40,+,1.0,77.10,5,77.40,3,32.94
254,2231,為升,"1,151,496",958,"232,017,151",206.50,206.50,199.00,200.50,-,2.0,200.50,20,201.00,6,102.82
255,2233,宇隆,"609,797",478,"55,830,033",90.00,93.00,90.00,92.00,+,2.8,91.90,4,92.00,3,17.29
256,2236,百達-KY,"25,135",14,"464,197",18.40,18.55,18.40,18.45, ,0.0,18.45,5,18.50,1,"1,845.00"
257,2239,英利-KY,"128,000",106,"12,761,200",100.50,101.00,98.90,99.30,+,0.3,99.10,1,99.30,10,28.21
258,2241,艾姆勒,"369,154",270,"21,958,129",59.30,60.50,58.70,58.70,+,1.0,58.70,3,59.00,14,104.82
259,2243,宏旭-KY,"24,000",16,"272,750",11.30,11.65,11.25,11.50,+,0.1,11.50,1,11.55,1,0.00
260,2247,汎德永業,"61,922",92,"14,741,267",239.00,239.00,237.00,238.00,-,0.5,237.50,3,238.50,5,16.95
261,2301,光寶科,"7,446,761","4,635","430,687,081",57.60,58.20,57.60,58.00,+,0.8,57.80,56,58.00,440,13.46
262,2302,麗正,"281,263",182,"5,662,337",20.10,20.35,20.00,20.15,+,0.15,20.15,5,20.20,19,403.00
263,2303,聯電,"192,335,820","63,449","9,015,477,148",47.20,47.35,46.35,46.55,+,0.2,46.50,"2,855",46.55,307,19.81
264,2305,全友,"1,241,912",484,"11,540,602",9.25,9.40,9.21,9.21,-,0.03,9.21,24,9.22,92,57.56
265,2308,台達電,"12,789,917","10,156","3,423,253,556",270.00,272.00,264.50,265.00,+,1.5,265.00,135,265.50,3,27.01
266,2312,金寶,"8,989,822","2,504","116,207,448",13.00,13.05,12.85,12.85, ,0.0,12.85,237,12.90,253,64.25
267,2313,華通,"7,503,607","3,673","316,924,415",42.60,42.60,42.10,42.15,-,0.1,42.15,178,42.20,69,10.43
268,2314,台揚,"2,482,207","1,359","83,890,294",33.70,34.40,33.30,34.00,+,0.95,34.00,60,34.05,104,0.00
269,2316,楠梓電,"1,407,465",650,"42,426,588",30.40,30.40,29.95,29.95,-,0.2,29.95,11,30.00,10,13.68
270,2317,鴻海,"49,011,206","20,545","5,676,662,482",116.00,117.00,115.00,115.50,+,0.5,115.00,"1,664",115.50,250,15.46
271,2321,東訊,"22,477",27,"150,402",6.83,6.83,6.65,6.65,-,0.33,6.62,1,6.65,19,0.00
272,2323,中環,"4,985,866","1,687","40,537,968",8.11,8.16,8.09,8.11,+,0.07,8.11,24,8.12,303,0.00
273,2324,仁寶,"10,444,391","4,575","237,639,184",22.85,22.95,22.60,22.70, ,0.0,22.70,94,22.75,960,14.55
274,2327,國巨,"7,487,328","7,446","4,018,741,718",542.00,543.00,533.00,534.00,-,1.0,534.00,144,535.00,151,25.95
275,2328,廣宇,"24,047,150","11,981","991,806,398",41.45,42.00,40.85,41.00,+,0.2,40.95,584,41.00,4,41.41
276,2329,華泰,"4,013,807","1,471","64,754,504",16.30,16.50,16.00,16.05,-,0.1,16.05,42,16.10,104,0.00
277,2330,台積電,"41,735,443","54,196","24,904,320,192",601.00,601.00,593.00,597.00,+,2.0,596.00,97,597.00,924,29.89
278,2331,精英,"27,886,367","10,704","884,253,821",31.50,32.50,31.15,31.25,+,0.25,31.20,147,31.25,11,82.24
279,2332,友訊,"2,281,567","1,104","53,695,494",23.25,23.85,23.25,23.50,+,0.45,23.50,210,23.55,118,71.21
280,2337,旺宏,"56,329,982","20,712","2,341,736,278",40.85,42.15,40.75,41.95,+,1.55,41.95,22,42.00,"1,057",14.62
281,2338,光罩,"4,716,901","2,473","212,108,430",44.95,45.35,44.60,44.90,+,0.35,44.90,35,44.95,3,29.74
282,2340,光磊,"2,566,496","1,175","63,087,201",24.60,24.75,24.40,24.60,+,0.05,24.60,146,24.65,12,17.08
283,2342,茂矽,"2,045,508","1,302","71,769,158",35.00,35.35,34.75,35.05,+,0.85,35.00,32,35.05,1,0.00
284,2344,華邦電,"60,169,160","20,105","1,624,661,777",27.10,27.30,26.80,26.85,+,0.3,26.85,982,26.90,323,81.36
285,2345,智邦,"1,717,545","1,482","440,695,856",256.00,263.00,252.00,253.50,+,2.5,253.50,1,254.00,42,29.65
286,2347,聯強,"2,699,863","1,660","132,904,987",49.20,49.70,49.00,49.10,-,0.05,49.10,2,49.15,63,10.74
287,2348,海悅,"1,228,592",913,"121,104,931",100.00,101.00,97.20,98.90,-,0.8,98.60,2,98.90,2,8.97
288,2349,錸德,"1,980,853",673,"20,114,529",10.10,10.25,10.05,10.15,+,0.1,10.15,7,10.20,44,0.00
289,2351,順德,"3,619,942","2,623","288,024,922",80.10,81.40,78.60,79.00,-,0.3,79.00,41,79.40,1,54.11
290,2352,佳世達,"12,640,967","3,967","370,790,161",29.30,29.65,29.00,29.65,+,0.55,29.60,2,29.65,144,15.13
291,2353,宏碁,"21,688,881","7,772","589,402,447",27.30,27.45,26.80,26.90,-,0.1,26.90,112,26.95,41,18.42
292,2354,鴻準,"6,232,562","3,885","435,050,889",69.90,70.50,69.20,69.60,+,0.6,69.60,167,69.70,8,18.12
293,2355,敬鵬,"2,448,319","1,339","82,313,145",33.00,34.20,33.00,33.60,+,0.85,33.55,33,33.60,34,101.82
294,2356,英業達,"21,009,732","8,045","542,513,111",26.05,26.15,25.65,25.65,-,0.35,25.65,"1,135",25.70,134,11.50
295,2357,華碩,"3,131,852","2,164","983,208,055",316.00,316.50,312.00,312.50,-,0.5,312.00,63,312.50,9,12.00
296,2358,廷鑫,"164,621",72,"2,280,637",13.85,13.95,13.80,13.85,-,0.2,13.85,8,13.90,18,125.91
297,2359,所羅門,"231,690",128,"4,184,096",18.25,18.25,17.95,17.95,-,0.15,17.95,35,18.00,9,32.05
298,2360,致茂,"1,109,358",599,"210,747,442",191.50,193.00,188.00,189.50, ,0.0,189.50,19,190.00,6,35.49
299,2362,藍天,"824,030",413,"24,772,149",30.25,30.25,29.85,30.20, ,0.0,30.15,2,30.20,22,111.85
300,2363,矽統,"4,447,531","1,753","71,182,982",16.00,16.15,15.90,16.00,+,0.15,15.95,70,16.00,13,0.00
301,2364,倫飛,"153,085",62,"455,577",2.95,3.00,2.95,3.00,+,0.05,2.96,13,3.00,12,100.00
302,2365,昆盈,"544,707",216,"6,106,582",11.30,11.30,11.15,11.15, ,0.0,11.15,61,11.20,95,10.72
303,2367,燿華,"1,926,364",900,"40,906,642",21.30,21.45,21.05,21.15,-,0.05,21.15,127,21.20,17,0.00
304,2368,金像電,"13,775,740","7,191","778,117,079",56.80,57.30,55.50,55.80,-,0.3,55.80,553,55.90,12,14.80
305,2369,菱生,"2,927,149","1,053","44,478,686",15.05,15.35,15.05,15.10,+,0.25,15.10,149,15.15,3,0.00
306,2371,大同,"26,704,551","7,796","753,799,411",28.50,28.65,27.90,27.90,-,0.45,27.90,116,27.95,47,34.88
307,2373,震旦行,"19,114",24,"1,704,285",89.50,89.50,89.00,89.00,-,0.3,89.10,1,89.20,5,14.52
308,2374,佳能,"600,153",307,"8,760,459",14.85,14.85,14.50,14.55,-,0.15,14.50,88,14.55,10,0.00
309,2375,凱美,"4,512,828","3,575","534,009,159",115.50,121.50,115.00,121.50,+,11.0,121.50,379,--,0,29.78
310,2376,技嘉,"27,990,570","16,917","2,573,737,590",90.70,94.00,88.70,92.40,+,1.8,92.30,22,92.40,21,16.04
311,2377,微星,"5,667,655","3,698","837,986,131",150.50,151.50,146.00,147.00,-,1.0,147.00,16,147.50,100,17.07
312,2379,瑞昱,"2,875,817","2,654","1,246,586,841",437.00,439.00,431.00,433.00,+,2.0,432.50,9,433.50,13,28.30
313,2380,虹光,"628,439",318,"5,182,954",8.25,8.33,8.18,8.25,+,0.05,8.24,16,8.30,7,0.00
314,2382,廣達,"8,565,621","5,258","735,128,997",86.50,86.50,85.50,85.70,+,0.2,85.70,60,85.90,77,15.58
315,2383,台光電,"1,252,116","1,076","209,535,058",167.00,169.00,166.00,166.00,+,0.5,166.00,117,166.50,15,14.98
316,2385,群光,"1,876,746","1,328","177,297,194",95.00,95.20,93.90,94.10,-,0.2,94.10,15,94.20,4,12.08
317,2387,精元,"1,177,701",726,"75,204,067",64.30,64.70,63.30,64.00,-,0.3,64.00,35,64.10,9,16.04
318,2388,威盛,"1,150,132",840,"53,786,044",46.25,47.30,46.25,46.65,+,0.85,46.65,1,46.70,2,0.00
319,2390,云辰,"6,376,355","2,761","114,754,823",17.85,18.40,17.55,17.80,+,0.1,17.80,161,17.85,11,30.69
320,2392,正崴,"1,454,638",844,"67,037,679",46.35,46.35,45.95,45.95,-,0.15,45.95,28,46.00,6,10.51
321,2393,億光,"3,120,828","1,946","138,715,325",43.95,44.90,43.75,44.65,+,1.15,44.60,28,44.65,5,17.37
322,2395,研華,"798,021",699,"296,194,537",371.50,379.50,364.00,366.00,-,3.0,366.00,14,366.50,12,38.98
323,2397,友通,"51,393",37,"3,328,223",65.00,65.10,64.40,64.80, ,0.0,64.70,2,65.00,6,16.66
324,2399,映泰,"2,535,546","1,173","43,370,216",17.35,17.40,16.90,16.95, ,0.0,16.95,39,17.00,5,20.67
325,2401,凌陽,"11,548,161","4,151","280,128,005",24.40,24.75,23.85,23.95,+,0.05,23.90,255,23.95,156,104.13
326,2402,毅嘉,"1,116,199",452,"19,827,131",17.75,17.85,17.60,17.80,+,0.3,17.75,5,17.80,10,37.87
327,2404,漢唐,"781,432",847,"180,198,507",230.00,231.50,230.00,230.50,+,0.5,230.00,108,230.50,16,11.17
328,2405,浩鑫,"839,556",327,"9,540,237",11.45,11.45,11.30,11.30,-,0.05,11.30,110,11.40,163,0.00
329,2406,國碩,"4,251,142","2,197","87,789,681",20.00,21.30,19.80,20.80,+,1.0,20.75,49,20.80,11,0.00
330,2408,南亞科,"15,496,569","9,528","1,372,738,666",88.00,90.40,87.50,87.60,+,0.9,87.60,123,87.70,3,35.04
331,2409,友達,"119,541,846","21,665","2,227,436,105",18.85,18.95,18.35,18.40, ,0.0,18.40,832,18.45,106,51.11
332,2412,中華電,"5,164,962","3,223","569,808,297",110.50,111.00,110.00,110.50, ,0.0,110.00,"2,706",110.50,392,25.64
333,2413,環科,"1,081,250",493,"27,225,944",25.10,25.60,24.85,25.50,+,0.5,25.45,2,25.50,7,0.00
334,2414,精技,"159,803",116,"4,305,260",26.85,27.00,26.85,26.90,+,0.05,26.90,3,26.95,11,12.69
335,2415,錩新,"2,216,134","1,442","91,943,077",41.50,42.95,40.60,40.80, ,0.0,40.70,20,40.80,18,0.00
336,2417,圓剛,"2,419,290","1,653","106,513,125",43.50,44.70,43.20,44.30,+,1.25,44.25,3,44.30,7,8.82
337,2419,仲琦,"404,051",265,"9,460,501",23.30,23.55,23.30,23.30,-,0.05,23.30,28,23.35,1,30.26
338,2420,新巨,"925,023",555,"33,792,462",36.70,36.90,36.40,36.50,-,0.05,36.50,12,36.55,6,12.29
339,2421,建準,"1,770,534","1,270","92,608,407",51.90,52.80,51.70,52.80,+,1.5,52.80,32,52.90,25,14.47
340,2423,固緯,"57,134",38,"1,362,110",23.95,23.95,23.75,23.95,+,0.1,23.80,2,23.95,9,15.76
341,2424,隴華,644,7,"14,947",--,--,--,--, ,0.0,23.50,4,25.20,1,0.00
342,2425,承啟,"178,781",119,"5,097,737",28.70,28.75,28.35,28.45, ,0.0,28.40,18,28.45,5,33.87
343,2426,鼎元,"12,421,684","4,551","296,460,379",23.45,24.15,23.40,24.00,+,0.3,23.95,10,24.00,26,17.91
344,2427,三商電,"217,810",88,"2,465,330",11.40,11.45,11.25,11.35, ,0.0,11.30,11,11.35,11,13.84
345,2428,興勤,"788,960",686,"143,495,559",184.00,185.00,180.00,180.00,-,1.5,180.00,9,180.50,1,18.52
346,2429,銘旺科,"26,056",19,"465,224",17.85,17.90,17.80,17.90,+,0.05,17.85,4,17.90,1,0.00
347,2430,燦坤,"137,218",151,"2,862,985",20.90,20.90,20.80,20.90,+,0.1,20.85,4,20.90,8,13.40
348,2431,聯昌,"193,102",105,"2,091,690",10.95,10.95,10.75,10.80, ,0.0,10.75,48,10.80,33,22.98
349,2433,互盛電,"120,388",93,"6,259,776",51.90,52.20,51.80,52.20,+,0.5,52.00,8,52.30,2,13.28
350,2434,統懋,"17,360",21,"452,888",26.25,26.30,26.00,26.00,-,0.1,26.00,3,26.65,1,0.00
351,2436,偉詮電,"1,473,097","1,014","65,469,104",44.30,44.90,44.10,44.20,+,0.35,44.15,20,44.20,14,22.78
352,2438,翔耀,"68,249",49,"757,157",11.40,11.40,11.00,11.05,-,0.3,11.05,8,11.25,13,221.00
353,2439,美律,"555,029",567,"73,656,539",133.00,133.50,132.00,133.00,+,0.5,132.50,11,133.00,39,21.08
354,2440,太空梭,"257,689",123,"3,306,717",12.90,12.95,12.75,12.80, ,0.0,12.80,15,12.85,6,9.92
355,2441,超豐,"5,619,568","3,554","374,003,019",66.70,67.40,65.70,67.30,+,1.6,67.30,37,67.40,50,14.38
356,2442,新美齊,"1,019,439",350,"10,534,245",10.40,10.40,10.30,10.30,-,0.2,10.30,78,10.35,34,16.09
357,2443,億麗,"46,940",47,"127,381",2.73,2.75,2.70,2.75,+,0.05,2.70,9,2.75,55,0.00
358,2444,兆勁,"603,012",168,"9,127,380",15.20,15.45,15.00,15.05,-,0.1,15.05,20,15.20,4,0.00
359,2449,京元電子,"12,710,802","5,602","500,390,105",39.50,39.65,39.05,39.55,+,0.35,39.55,96,39.60,293,12.24
360,2450,神腦,"193,331",128,"6,300,160",32.50,32.80,32.30,32.50,+,0.05,32.50,3,32.60,1,19.23
361,2451,創見,"1,212,571",971,"77,962,562",64.80,64.80,64.00,64.50,-,0.3,64.40,3,64.50,12,23.12
362,2453,凌群,"318,350",196,"5,679,614",17.70,18.00,17.65,17.75,+,0.15,17.75,4,17.80,13,12.68
363,2454,聯發科,"9,564,427","15,028","8,328,731,610",890.00,892.00,860.00,864.00,-,15.0,864.00,49,865.00,29,42.06
364,2455,全新,"3,180,198","2,088","322,660,655",103.00,103.00,100.50,101.50,+,0.5,101.50,41,102.00,57,36.64
365,2456,奇力新,"1,869,707","1,417","195,932,073",105.50,106.00,104.00,105.00,+,0.5,105.00,96,105.50,93,17.56
366,2457,飛宏,"4,393,472","1,882","75,225,075",17.15,17.40,16.95,17.00,-,0.1,17.00,103,17.05,30,0.00
367,2458,義隆,"2,417,853","1,920","418,111,982",173.50,174.00,172.00,172.50, ,0.0,172.00,114,172.50,29,16.57
368,2459,敦吉,"270,644",228,"13,769,981",50.90,51.10,50.60,50.90,+,0.4,50.70,6,50.90,23,11.36
